input,output
Adenine,"['Molecular Formula: C₅H₅N₅', 'Molar Mass: 135.13 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 360 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.61 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 9-10 (0.1 M solution)']"
Adenosine Triphosphate (ATP),"['Molecular Formula: C₁₀H₁₆N₅O₁₃P₃', 'Molar Mass: 507.18 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: Decomposes before melting', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: N/A (complex molecule)', 'Radioactivity: Non-radioactive', 'pH Value: 6.5-7.5 (solution)']"
Adipic Acid,"['Molecular Formula: C₆H₁₀O₄', 'Molar Mass: 146.14 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 152 °C', 'Water Solubility: 1.5 g/100 mL at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.36 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.0-2.5 (0.1 M solution)']"
Aluminum(III) Oxide (Al₂O₃),"['Molecular Formula: Al₂O₃', 'Molar Mass: 101.96 g/mol', 'Boiling Point: 2,977 °C', 'Melting Point: 2,072 °C', 'Water Solubility: Insoluble', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 3.95-4.1 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Ammonia,"['Molecular Formula: NH₃', 'Molar Mass: 17.03 g/mol', 'Boiling Point: -33.34 °C', 'Melting Point: -77.73 °C', 'Water Solubility: Highly soluble (482 g/L at 20 °C)', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive', 'Density: 0.73 g/cm³ (gas)', 'Radioactivity: Non-radioactive', 'pH Value: 11.6 (1 M solution)']"
Ascorbic Acid (Vitamin C),"['Molecular Formula: C₆H₈O₆', 'Molar Mass: 176.12 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 190-192 °C', 'Water Solubility: 330 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.65 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.1-2.6 (5% solution)']"
Aspartame,"['Molecular Formula: C₁₄H₁₈N₂O₅', 'Molar Mass: 294.31 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 246-247 °C', 'Water Solubility: 10 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.347 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 4.5-6 (0.8% solution)']"
Benzene,"['Molecular Formula: C₆H₆', 'Molar Mass: 78.11 g/mol', 'Boiling Point: 80.1 °C', 'Melting Point: 5.5 °C', 'Water Solubility: 1.79 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Not corrosive', 'Density: 0.876 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Benzoic Acid,"['Molecular Formula: C₇H₆O₂', 'Molar Mass: 122.12 g/mol', 'Boiling Point: 249 °C', 'Melting Point: 122 °C', 'Water Solubility: 3.4 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Not corrosive', 'Density: 1.27 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.8 (saturated solution)']"
Biphenyl and PCBs (Polychlorinated Biphenyls),"['Molecular Formula: C₁₂H₁₀', 'Molar Mass: 154.21 g/mol', 'Boiling Point: 255 °C', 'Melting Point: 69 °C', 'Water Solubility: 6.94 mg/L at 25 °C', 'Biodegradability: PCBs are not readily biodegradable; biphenyl is biodegradable', 'Flammability: Flammable', 'Corrosivity: Not corrosive', 'Density: 1.04 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (biphenyl)']"
Butane,"['Molecular Formula: C₄H₁₀', 'Molar Mass: 58.12 g/mol', 'Boiling Point: -1 °C', 'Melting Point: -138 °C', 'Water Solubility: 61 mg/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.579 g/L (gas)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Butene,"['Molecular Formula: C₄H₈', 'Molar Mass: 56.11 g/mol', 'Boiling Point: -6.3 °C', 'Melting Point: -185 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.62 g/L (gas)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Butyric Acid and Fatty Acids,"['Molecular Formula (Butyric Acid): C₄H₈O₂', 'Molar Mass (Butyric Acid): 88.11 g/mol', 'Boiling Point (Butyric Acid): 163.5 °C', 'Melting Point (Butyric Acid): -5 °C', 'Water Solubility (Butyric Acid): Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive to metals and skin', 'Density (Butyric Acid): 0.96 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 3.8 (0.1 M solution)']"
Caffeine,"['Molecular Formula: C₈H₁₀N₄O₂', 'Molar Mass: 194.19 g/mol', 'Boiling Point: Sublimes at 178 °C', 'Melting Point: 238 °C', 'Water Solubility: 2.17 g/100 mL at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.23 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6.9 (1% solution)']"
Calcium Carbonate,"['Molecular Formula: CaCO₃', 'Molar Mass: 100.09 g/mol', 'Boiling Point: Decomposes at 1,339 °C', 'Melting Point: 825°C', 'Water Solubility: 0.013 g/L at 25 °C', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 2.71 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 9.91 (saturated solution)']"
Calcium Oxide (Lime),"['Molecular Formula: CaO', 'Molar Mass: 56.08 g/mol', 'Boiling Point: 2,850 °C', 'Melting Point: 2,613 °C', 'Water Solubility: 1.73 g/L at 20 °C', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Corrosive', 'Density: 3.34 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 12.4 (saturated solution)']"
Calcium Sulfate (Gypsum),"['Molecular Formula: CaSO₄', 'Molar Mass: 136.14 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 1,450 °C', 'Water Solubility: 0.209 g/100 mL at 25 °C', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 2.32 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 7.7 (saturated solution)']"
Carbon Dioxide,"['Molecular Formula: CO₂', 'Molar Mass: 44.01 g/mol', 'Boiling Point: Sublimes at -78.5 °C', 'Melting Point: Sublimes at -78.5 °C (solid phase directly to gas)', 'Water Solubility: 1.45 g/L at 25 °C', 'Biodegradability: N/A (natural part of carbon cycle)', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.98 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: 3.7 (saturated solution, carbonic acid)']"
Carbon Monoxide,"['Molecular Formula: CO', 'Molar Mass: 28.01 g/mol', 'Boiling Point: -191.5 °C', 'Melting Point: -205.1 °C', 'Water Solubility: 2.3 g/L at 25 °C', 'Biodegradability: N/A (oxidizes to CO₂)', 'Flammability: Highly flammable', 'Corrosivity: Not corrosive', 'Density: 1.25 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Chloroform,"['Molecular Formula: CHCl₃', 'Molar Mass: 119.38 g/mol', 'Boiling Point: 61.2 °C', 'Melting Point: -63.5 °C', 'Water Solubility: 8.09 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.489 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Chlorophyll,"['Molecular Formula: C₅₅H₇₂MgN₄O₅ (Chlorophyll a)', 'Molar Mass: 893.49 g/mol (Chlorophyll a)', 'Boiling Point: Decomposes before boiling', 'Melting Point: Decomposes before melting', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: N/A (complex molecule)', 'Radioactivity: Non-radioactive', 'pH Value: N/A (depends on solution and form)']"
Cholesterol,"['Molecular Formula: C₂₇H₄₆O', 'Molar Mass: 386.65 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 148-150 °C', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.067 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (pure form)']"
Citric Acid,"['Molecular Formula: C₆H₈O₇', 'Molar Mass: 192.12 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 153 °C', 'Water Solubility: 59.2 g/100 mL at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Slightly corrosive', 'Density: 1.66 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.2 (5% solution)']"
Cocaine,"['Molecular Formula: C₁₇H₂₁NO₄', 'Molar Mass: 303.35 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 98 °C', 'Water Solubility: 1.8 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.22 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: N/A (depends on form)']"
Cytosine,"['Molecular Formula: C₄H₅N₃O', 'Molar Mass: 111.10 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 320-325 °C', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.32 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (depends on solution)']"
Thymine,"['Molecular Formula: C₅H₆N₂O₂', 'Molar Mass: 126.11 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 316-317 °C', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.23 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (depends on solution)']"
Uracil,"['Molecular Formula: C₄H₄N₂O₂', 'Molar Mass: 112.09 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 335 °C', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.32 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (depends on solution)']"
DDT (Dichlorodiphenyltrichloroethane),"['Molecular Formula: C₁₄H₉Cl₅', 'Molar Mass: 354.49 g/mol', 'Boiling Point: 260 °C', 'Melting Point: 108.5 °C', 'Water Solubility: 0.025 mg/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.68 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
"DEET (N,N-Diethyl-meta-toluamide)","['Molecular Formula: C₁₂H₁₇NO', 'Molar Mass: 191.27 g/mol', 'Boiling Point: 288 °C', 'Melting Point: -45 °C', 'Water Solubility: 0.86 g/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Flammable']"
Dichlorodifluoromethane (CFC-12),"['Molecular Formula: CCl₂F₂', 'Molar Mass: 120.91 g/mol', 'Boiling Point: -29.8 °C', 'Melting Point: -158 °C', 'Water Solubility: 0.22 g/L at 25 °C', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.486 g/cm³ (at 25 °C)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral']"
Dopamine,"['Molecular Formula: C₈H₁₁NO₂', 'Molar Mass: 153.18 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 128-130 °C', 'Water Solubility: 60 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.26 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 5-6 (depends on solution)']"
Epinephrine (Adrenaline),"['Molecular Formula: C₉H₁₃NO₃', 'Molar Mass: 183.20 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 211-212 °C', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.28 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.5-3.5 (0.1% solution)']"
Ethane,"['Molecular Formula: C₂H₆', 'Molar Mass: 30.07 g/mol', 'Boiling Point: -88.6 °C', 'Melting Point: -182.8 °C', 'Water Solubility: 60 mg/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 1.356 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Ethene (Ethylene),"['Molecular Formula: C₂H₄', 'Molar Mass: 28.05 g/mol', 'Boiling Point: -103.7 °C', 'Melting Point: -169.2 °C', 'Water Solubility: 131 mg/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 1.178 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Ether,"['Molecular Formula: C₄H₁₀O (Diethyl ether)', 'Molar Mass: 74.12 g/mol', 'Boiling Point: 34.6 °C', 'Melting Point: -116.3 °C', 'Water Solubility: 6.9 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.7134 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Ethyl Alcohol (Ethanol),"['Molecular Formula: C₂H₅OH', 'Molar Mass: 46.07 g/mol', 'Boiling Point: 78.37 °C', 'Melting Point: -114.1 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.789 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Ethylenediaminetetraacetic Acid (EDTA),"['Molecular Formula: C₁₀H₁₆N₂O₈', 'Molar Mass: 292.24 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 250 °C', 'Water Solubility: 0.05 g/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 0.86 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.5 (0.1 M solution)']"
Fluoxetine (Prozac),"['Molecular Formula: C₁₇H₁₈F₃NO', 'Molar Mass: 309.33 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 179-182 °C', 'Water Solubility: 14 mg/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.28 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (depends on form and solution)']"
Formaldehyde,"['Molecular Formula: CH₂O', 'Molar Mass: 30.03 g/mol', 'Boiling Point: -19 °C (gas)', 'Melting Point: -92 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Corrosive', 'Density: 0.815 g/cm³ (liquid)', 'Radioactivity: Non-radioactive', 'pH Value: 2.8-4 (aqueous solution)']"
Formic Acid,"['Molecular Formula: CH₂O₂', 'Molar Mass: 46.03 g/mol', 'Boiling Point: 100.8 °C', 'Melting Point: 8.4 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Corrosive', 'Density: 1.22 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 2.4 (1% solution)']"
Glucose,"['Molecular Formula: C₆H₁₂O₆', 'Molar Mass: 180.16 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 146 °C', 'Water Solubility: 909 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.54 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 6-7 (neutral in solution)']"
Glycerol (Glycerin),"['Molecular Formula: C₃H₈O₃', 'Molar Mass: 92.09 g/mol', 'Boiling Point: 290 °C', 'Melting Point: 17.8 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.261 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 5.5-7.5 (depends on solution)']"
Guanine,"['Molecular Formula: C₅H₅N₅O', 'Molar Mass: 151.13 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 350 °C (decomposes)', 'Water Solubility: Slightly soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 2.2 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 7 (neutral in solution)']"
Hydrochloric Acid,"['Molecular Formula: HCl', 'Molar Mass: 36.46 g/mol', 'Boiling Point: -85.05 °C (gas)', 'Melting Point: -114.2 °C (gas)', 'Water Solubility: Miscible', 'Biodegradability: N/A (dissociates in water)', 'Flammability: Non-flammable', 'Corrosivity: Highly corrosive', 'Density: 1.18 g/cm³ (concentrated solution)', 'Radioactivity: Non-radioactive', 'pH Value: <1 (concentrated solution)']"
Hydrogen Peroxide,"['Molecular Formula: H₂O₂', 'Molar Mass: 34.01 g/mol', 'Boiling Point: 150.2 °C', 'Melting Point: -0.43 °C', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable (but strong oxidizer)', 'Corrosivity: Corrosive', 'Density: 1.45 g/cm³ (concentrated solution)', 'Radioactivity: Non-radioactive', 'pH Value: 4.5 (30% solution)']"
Hydrogen Sulfide,"['Molecular Formula: H₂S', 'Molar Mass: 34.08 g/mol', 'Boiling Point: -60.2 °C', 'Melting Point: -82 °C', 'Water Solubility: 4 g/L at 20 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Corrosive', 'Density: 1.539 kg/m³ (gas at STP)', 'Radioactivity: Non-radioactive', 'pH Value: 4-5 (weak acid)']"
Ibuprofen,"['Molecular Formula: C₁₃H₁₈O₂', 'Molar Mass: 206.29 g/mol', 'Boiling Point: 157 °C (at 4 mmHg)', 'Melting Point: 75-78 °C', 'Water Solubility: 0.021 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.18 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: 4-5 (in solution)']"
Indigo,"['Molecular Formula: C₁₆H₁₀N₂O₂', 'Molar Mass: 262.27 g/mol', 'Boiling Point: Decomposes before boiling', 'Melting Point: 390-392 °C', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.4 g/cm³', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Insulin,"['Molecular Formula: C₂₅₇H₃₈₃N₆₅O₇₇S₆', 'Molar Mass: 5808', 'Boiling Point: Decomposes before boiling', 'Melting Point: Decomposes before melting', 'Water Solubility: Soluble', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: N/A (complex protein)', 'Radioactivity: Non-radioactive', 'pH Value: 2.8-3.5 (in solution)']"
Iron(III) Oxide,"['Molecular Formula: Fe₂O₃', 'Molar Mass: 159.69', 'Boiling Point: Decomposes before boiling', 'Melting Point: 1565', 'Water Solubility: Insoluble', 'Biodegradability: Non-biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 5.24', 'Radioactivity: Non-radioactive', 'pH Value: N/A (insoluble in water)']"
Isooctane,"['Molecular Formula: C₈H₁₈', 'Molar Mass: 114.23', 'Boiling Point: 99.3', 'Melting Point: -107.38', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.692', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Isoprene,"['Molecular Formula: C₅H₈', 'Molar Mass: 68.12', 'Boiling Point: 34', 'Melting Point: -145.95', 'Water Solubility: Insoluble', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.681', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Methane,"['Molecular Formula: CH₄', 'Molar Mass: 16.04', 'Boiling Point: -161.5', 'Melting Point: -182.5', 'Water Solubility: 22.7 mg/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.717', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (does not dissociate in water)']"
Methyl Alcohol (Methanol),"['Molecular Formula: CH₃OH', 'Molar Mass: 32.04', 'Boiling Point: 64.7', 'Melting Point: -97.6', 'Water Solubility: Miscible', 'Biodegradability: Readily biodegradable', 'Flammability: Highly flammable', 'Corrosivity: Non-corrosive', 'Density: 0.791', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Methylphenidate (Ritalin),"['Molecular Formula: C₁₄H₁₉NO₂', 'Molar Mass: 233.31', 'Boiling Point: Decomposes before boiling', 'Melting Point: 224-226', 'Water Solubility: 7.6 mg/mL at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Not corrosive', 'Density: 1.13', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
Monosodium Glutamate (MSG),"['Molecular Formula: C₅H₈NNaO₄', 'Molar Mass: 169.11', 'Boiling Point: Decomposes before boiling', 'Melting Point: 232', 'Water Solubility: 740 g/L at 25 °C', 'Biodegradability: Readily biodegradable', 'Flammability: Non-flammable', 'Corrosivity: Non-corrosive', 'Density: 1.62', 'Radioactivity: Non-radioactive', 'pH Value: 6.7-7.2 (neutral in solution)']"
Naphthalene,"['Molecular Formula: C₁₀H₈', 'Molar Mass: 128.17', 'Boiling Point: 218', 'Melting Point: 80.26', 'Water Solubility: 31.7 mg/L at 25 °C', 'Biodegradability: Not readily biodegradable', 'Flammability: Flammable', 'Corrosivity: Non-corrosive', 'Density: 1.14', 'Radioactivity: Non-radioactive', 'pH Value: Neutral (7)']"
